sent_id,sent_text,sent_label1,sent_label2,sent_label3
86-24156-1,"Yo lo he estado buscando y solo queda la posibilidad de recurrir a los puntos limpios itinerantes, con un horario reducido una vez a la semana y en horario laboral que impide, al menos en mi caso, poder eliminarlo adecuadamente.",YES,CLAIM,NONE
86-27078-0,Aquí tienes todos: .,NO,SPAM,NONE
86-36894-0,"Gracias por la información, pero si te fijas esos puntos limpios en cada barrio son itinerantes, y sus horarios son bastante restringidos.",YES,CLAIM,NONE
86-36894-1,De todas maneras gracias por la información.,NO,SPAM,NONE
86-71085-0,"Estoy de acuerdo contigo, en Centro por ejemplo los puntos limpios itinerantes funcionan solo 2 horas y cada día están en un sitio, así que es complicado poder llevar algo a los puntos limpios, sobre todo si no dispones de tu propio vehículo, que parece que eres un vago porque no quieres ir con la basura en el autobús para llevarla a tirar.",YES,PREMISE,REASON
86-71085-1,"En el Mercado de los Mostenses hay un contenedor para reciclaje de aceite, hm recoge tejidos para reciclar no solo ropa en buen estado para donarla, sino también la que este rota y muy deteriorada en los Bricor de El Corte Ingles hay contenedores para pequeños electrodomesticos y lamparas.",NO,SPAM,NONE
86-71085-2,"Quizas lo que se le podía pedir al Ayuntamiento es que recopile la información sobre la localización todos estos micro puntos limpios públicos y privados en la web del Ayuntamiento, ordenados por distritos o situados en un mapa para que sea más fácil reciclar.",YES,CLAIM,NONE
86-25573-0,Pues están empezando a ponerlos.,NO,SPAM,NONE
86-25573-1,Cerca del Parque de s Isidro ya pusieron uno antes del verano.,NO,SPAM,NONE
86-25573-2,"Lo que pasa es que a veces está y otras no, quizá se lo lleven para vaciar.",NO,SPAM,NONE
86-25573-3,Pero apoyo.,NO,SPAM,NONE
86-26414-0,Una propuesta a seguir: .,NO,SPAM,NONE
86-27165-0,"Si mi pueblo Montijo -ba los tiene, ¿por qué no Madrid? Hasta ahora, tengo que meter el aceite en botellitas de agua, cerrarlas bien y a la basura.",NO,SPAM,NONE
86-28528-0,Ya existe.,NO,SPAM,NONE
86-28528-1,En todos los puntos limpios que hay en Madrid.,NO,SPAM,NONE
86-28528-2,Solo hay que molestarse en ir a ellos.,NO,SPAM,NONE
86-33090-0,"Claro, la recogida de aceite ya se hace en los puntos limpios.",NO,SPAM,NONE
86-33090-1,"Esta propuesta no tiene mucho sentido, creo yo.",NO,SPAM,NONE
86-36892-0,Tiene todo el sentido del mundo porque los puntos limpios no son lugares de fácil acceso.,YES,CLAIM,NONE
86-36892-1,"No es molestarse en ir a ellos, es que puede ser una excursión e incluso así sin un coche es bastante complicado llegar a ellos.",YES,PREMISE,RESULT
86-36892-2,Y los puntos limpios móviles tienen horarios restringidos.,YES,PREMISE,ADDITION
86-36892-3,"Es algo que existe, además, en muchas ciudades más pequeñas y con un acceso más sencillo a los puntos limpios y que sin duda facilita que la gente realmente recicle el aceite usado de una manera responsable.",YES,PREMISE,ADDITION
86-37840-0,"Entonces habría que llenar las calles de contenedores de todo tipo, lo cual no es viable ni lógico.",YES,CLAIM,NONE
86-37840-1,"Lo lógico es tener los contenedores de las cosas más habituales orgánico, envases, papel y vidrio y para lo demás tener un centro donde se puedan dejar el resto de cosas para reciclar o sea un punto limpio El problema es que la gente es vaga a la hora de reciclar.",YES,CLAIM,NONE
86-37840-2,Tampoco hace falta ir al punto limpio cada vez que tengamos que tirar una pila o una bombilla.,YES,PREMISE,ADDITION
86-37840-3,Estas cosas también se pueden acumular e ir a tirarlas cuando tengamos unas cuantas.,YES,PREMISE,ADDITION
86-37840-4,"Seguramente usted y otras personas vayan más lejos para otras cosas, no creo que ir al punto limpio de su distrito una vez al año por decir algo sea para tanto.",YES,CLAIM,NONE
86-37979-0,"Aparte de las consideraciones de tipo personal sobre el tipo de cosas en las que invierto mi tiempo, cosa que me parece completamente fuera de lugar en este debate, la propuesta me parece oportuna porque este tipo de contenedores se utilizan, además, en muchas ciudades, generalmente en lugares como supermercados en la calle puede resultar más peligroso y realmente es la manera de animar a que algo tan contaminante como el aceite no acabe en la basura general en el mejor de los casos o directamente en las tuberías y por tanto en el agua.",YES,CLAIM,NONE
86-37979-1,"No creo que apelar a la pereza de los ciudadanos para reciclar sea una excusa para no apoyar la propuesta, pero si es su motivo, perfecto.",YES,CLAIM,NONE
86-37979-2,Por último añadir que hace no muchos años solo había un cubo de basura para todo.,NO,SPAM,NONE
86-37979-3,"Siguiendo su lógica y teniendo en cuenta la viabilidad sería absurdo añadir más cubos, se podría hacer todo por vía punto limpio.",YES,CLAIM,NONE
86-37979-4,"He vivido en países donde no solo se reciclaba el vidrio, se hacía por colores, y no era lo único.",NO,SPAM,NONE
86-79371-0,También se recogen en algunos colegios e incluso en algunas comunidades de vecinos.,YES,CLAIM,NONE
86-79371-1,"Y los puntos limpios móviles tienen un horario súper variado: por la mañana unos días, por la tarde otros.",YES,CLAIM,NONE
86-79371-2,Y eso sólo los de un distrito.,YES,PREMISE,ADDITION
86-79371-3,Pero si te vas al de al lado que tampoco queda myu lejos tienes aún más amplitud de horario.,YES,PREMISE,ALTERNATIVE
86-90289-0,En que colegios? Yo no tengo noticia en Madrid de ningúno y menos en Moratalaz.,NO,SPAM,NONE
86-91655-0,"Yo sólo sé de uno en mi barrio, pero lo recogían con botellas del ayuntamiento, que prestaban a los niños durante todo el curso.",NO,SPAM,NONE
86-91655-1,En el ceip Joaquín Costa.,NO,SPAM,NONE
86-90288-0,"Totalmente de acuerdo, yo el punto limpio fijo más cercano lo tengo a quince minutos de casa andando y en cuesta, y en mi barrio hay gente que lo tiene mucho más lejos.",YES,CLAIM,NONE
86-90288-1,Y yo soy joven pero hay mucha gente mayor que eso le costaria muchisimo y no podría.,YES,PREMISE,ADDITION
86-90288-2,Y los puntos moviles son muy variables y de horario reducido.,YES,PREMISE,ADDITION
86-60708-0,No es tán sencilllo sobre todo para la gente que trabaja y no tiene coche propio.,NO,SPAM,NONE
86-60708-1,Los puntos limpios están bastante alejados de los barrios.,NO,SPAM,NONE
86-60708-2,Tened en cuenta que el aceite contamina incluso más que el plastico y el vidrio y en todos los domicilios se hace uso de él.,NO,SPAM,NONE
86-60708-3,Porque no crear un servicio especial como se hace con la recogida de muebles.,YES,CLAIM,NONE
86-60708-4,"Me parece muy buena idea que en los Supermercados existan contenedores de recogida de aceite, si no es posible actualmente en los propios barrios.",YES,CLAIM,NONE
86-90290-0,El aceite es un producto de mucho uso y si lo dejásemos para una vez al año o dos acumularíamos muchisimo.,NO,SPAM,NONE
86-90290-1,También me parece muy buena la idea de una recogida periodica especial como se hacia con los muebles.,YES,CLAIM,NONE
86-29033-0,"Apoyo totalmente la propuesta, pero no soy partidario de dejar contenedores en las calles, ya que sí por alguna causa ardiera por vandalismo o fortuito podría ser muy peligroso.",YES,CLAIM,NONE
86-32125-0,"Hay cooperqtivas que recogen el aceite a domicilio para hacer jabón industrial etc. Para recoger el aceite se requiere atención personal porque depende de donde lo traiga cada cual y se puede derramar y es peligroso, No estoy de acuredo con lo de los contenedores a no ser que estén muy bien diseñados asegurando que no son peligrosos, y de forma limpia.",YES,CLAIM,NONE
86-32125-1,Por ejemplo estas propuestas proponen el soterramentohttps: //decide.,NO,SPAM,NONE
86-32125-2,Madrid.,NO,SPAM,NONE
86-32125-3,Es/proposals/2709 -.,NO,SPAM,NONE
86-32126-0,Propuestas que proponen el soterramiento de los contenedores: -.,YES,CLAIM,NONE
86-33338-0,"El problema que muchos lo usaran para hechar el aceite de los coches, que para eso es un punto diferente, a demás que hay empresas que lo hacen para conseguir el biodiesel añado otra propuesta.",YES,CLAIM,NONE
86-33523-0,Por favor apoya esta propuesta: .,NO,SPAM,NONE
86-33733-0,"Hola, creo que nuestras son complementarias.",NO,SPAM,NONE
86-33733-1,Propongo recoger y transportar la basura por la red de metro.,YES,CLAIM,NONE
86-34785-0,Esta propuesta no debería esperar a tener suficientes firmas.,YES,CLAIM,NONE
86-34785-1,Es algo demasiado serio.,YES,PREMISE,REASON
86-34785-2,Hasta mi pueblo con 1000 habitantes tiene 2 contenedores de aceite!.,YES,PREMISE,REASON
86-37969-0,"Hola no se si esta propuesta habrá salido adelante pero en mi barrio ya he visto dos contenedores para recoger aceite, vivo en el pozo y los han.",NO,SPAM,NONE
86-37969-1,Puesto al principio del parque de Entrevías.,NO,SPAM,NONE
86-51168-0,Buenos días.,NO,SPAM,NONE
86-51168-1,Me parece una propuesta tremendamente necesaria.,YES,CLAIM,NONE
86-51168-2,No sabía que ya existía una similar y entonces creé otra similar.,NO,SPAM,NONE
86-51168-3,"Te paso el enlace porque la descripción era bastante completa y con enlaces explicativos, por si os apetece ampliar la explicación de ésta y así conseguir más apoyoshttps: //decide.",NO,SPAM,NONE
86-51168-4,Madrid.,NO,SPAM,NONE
86-51168-5,Es/proposals/7025#comments Un saludo y a ver si lo conseguimos entre tod@s.,NO,SPAM,NONE
86-52498-0,Que haya contenedores en los supermercados para no tener que desplazarse a un punto limpio.,YES,CLAIM,NONE
86-58350-0,Me ha gustado tu propuesta por su interés medio ambiental.,YES,CLAIM,NONE
86-58350-1,Te sugiero que eches un vistazo a esta otra que sin duda apoyarás.,NO,SPAM,NONE
86-66361-0,"Yo también había hecho esta propuesta, pero acabo de ver que ya hay ésta y otras.",NO,SPAM,NONE
86-66361-1,"Como creo que es la que más votos tiene, retiraré la mía.",NO,SPAM,NONE
86-66361-2,Esto es sumamente importante por favor.,NO,SPAM,NONE
86-66361-3,Los puntos limpios no son suficiente alternativa.,NO,SPAM,NONE
86-66361-4,"Están bien para tirar teles, otros tipos de aceites o residuos contaminantes, etc. , pero para algo tan cotidiano y abundante como el aceite de las cocinas de nuestros hogares y restaurantes no olvidemos todo lo que estos producen también no basta con puntos limpios porque: mucha gente no es si quiera consciente de que tirar aceite al desagüe sea contaminante;",YES,PREMISE,REASON
86-66361-5,"otros tiran el aceite en un envase de plástico a los residuos orgánicos, mezclando diferentes tipos de reciclaje;",NO,SPAM,NONE
86-66361-6,"es absurdo tener que irse a las afueras en coche, y por tanto contaminando para tirar 5l de aceite;",NO,SPAM,NONE
86-66361-7,"y como bien decís muchos, los puntos limpios itinerantes tienen unos horarios que se hacen inaccesibles para mucha gente.",NO,SPAM,NONE
86-66361-8,"Muchas ciudades lo tienen, a qué estamos esperando?.",NO,SPAM,NONE
86-66362-0,Con esto se podría contribuir además a la producción de biodiesel.,YES,CLAIM,NONE
86-66362-1,"Generando cultura de reciclaje del aceite, podríamos bajar el precio del petroleo y contaminar menos.",YES,CLAIM,NONE
86-66362-2,Ya estamos tardando!.,NO,SPAM,NONE
86-67278-0,"Ya hay puntos limpios para dejar el aceite, espero que nadie lo tire por el fregadero.",NO,SPAM,NONE
86-67278-1,"Pero sí me parece bien, dar más facilidades para que podamos tirarlo en contenedores repartidos y colocados junto los de vidrio y papel, por toda la ciudad y que se pueda tirar con la botella incluida.",YES,CLAIM,NONE
86-78227-0,La propuesta es interesante pero me temo que nos estamos olvidando de temas que son prioritarios para la vida de muchas familias sin recursos que no pueden alimentar a sus hijos.,YES,CLAIM,NONE
86-78227-1,Os recuerdo que España es el país de la OCDE donde más avanzó la desigualdad durante la crisis.,NO,SPAM,NONE
86-78227-2,La desigualdad en España avanza a un ritmo que supera hasta 14 veces a Grecia.,NO,SPAM,NONE
86-78227-3,"La pobreza y la exclusión en España han aumentado alarmantemente en los últimos años, con 134 millones de personas en riesgo de exclusión en el año 2014 292 de la población española según concluye el informe Una economía al servicio del 1 hecha pública en 2016 por Oxfam Intermon.",NO,SPAM,NONE
86-78227-4,"Por otra lado, estamos a la espera de que nos apliquen 10000 millones de euros en recortes desde Europa.",NO,SPAM,NONE
86-78227-5,"Podemos seguir obviando este tema, pensar que no pasa nada pero ahora es el momento de plantear acciones contra la pobreza: .",YES,CLAIM,NONE
86-79423-0,"Creo que es muy necesario al igual que el contenedor de reciclar vidrio, bricks, etc. Yo ya no se que hacer con tanto bote con aceite usado porque me niego a tirarlo por el desagüe.",YES,CLAIM,NONE
86-82364-0,Sería interesante que instalasen los contenedores en mercados municipales y grandes superficies.,YES,CLAIM,NONE
86-89156-0,Me parece bien pero bajo una restricción.,YES,CLAIM,NONE
86-89156-1,Como identificas quien vierte y que aceite vierte.,NO,SPAM,NONE
86-89156-2,"Que ocurría si algún ciudadano vierte aceite de vehículo, si todo va junto, no se podría diferenciar.",YES,PREMISE,CONDITION
86-90365-0,En los puntos limpios de Madrid hay contenedores para este aceite.,NO,SPAM,NONE
86-128583-0,"Estoy de acuerdo con esta propuesta, yo vivo en el Puente de Vallecas y no tengo ningún sitio cerca donde tirarlo.",YES,CLAIM,NONE
86-128583-1,"Al final lo echo en una envase de cristal y lo termino tirando a la basura, pero no me parece adecuado.",NO,SPAM,NONE
109-128583-0,Limpieza de graffitis y remodelación de aluche,YES,CLAIM,NONE
109-128583-0,Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.,YES,CLAIM,NONE
109-128583-0,Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.,YES,CLAIM,NONE
109-128583-1,"Graffitis y basura por todas partes, aceras rotas, baches en la carretera, zonas de jardines destrozadas.",YES,CLAIM,NONE
109-17276-0,No a los ruidos.,NO,SPAM,NONE
109-17276-1,Reducir el número de decibelios permitido.,NO,SPAM,NONE
109-18717-0,Hola.,NO,SPAM,NONE
109-18717-1,Gracias por tu propuesta.,NO,SPAM,NONE
109-18717-2,He creado una específicamente para grafitis en toda la ciudad.,NO,SPAM,NONE
109-18717-3,"Por favor, apoyadla.",NO,SPAM,NONE
109-18717-4,Gracias.,NO,SPAM,NONE
109-19077-0,"Votado, gracias.",NO,SPAM,NONE
109-23361-0,Votado.,NO,SPAM,NONE
109-23361-1,"Que se pinten su casa por dentro, claro.",NO,SPAM,NONE
109-20688-0,Votado.,NO,SPAM,NONE
109-20688-1,Es un problema global lo de las pintadas descontroladas.,NO,SPAM,NONE
109-20688-2,"Por favor, votad.",NO,SPAM,NONE
109-20773-0,Votado.,NO,SPAM,NONE
109-20773-1,"Muchas gracias, entre todas las propuestas relacionadas nos apoyamos!.",NO,SPAM,NONE
109-20773-2,Entre todos lo conseguiremos.,NO,SPAM,NONE
109-27247-0,Que os parecería esto para el barrio.,NO,SPAM,NONE
109-20774-0,Otros debates: No a los ruidos.,NO,SPAM,NONE
109-20774-1,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-21186-0,Votado! muchas gracias por votar la mia.,NO,SPAM,NONE
109-27246-0,Que os parecería esto.,NO,SPAM,NONE
109-24436-0,Y el centro de Madrid que te parece como esta?.,NO,SPAM,NONE
109-25989-0,Aprendamos a mantener limpia España.,NO,SPAM,NONE
109-26535-0,"Muy ilustrativo, gracias por el aporte.",NO,SPAM,NONE
109-26535-1,Entre todos lo conseguiremos apoyando esta propuesta y similares Otros debates: No a los ruidos.,NO,SPAM,NONE
109-26535-2,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-27240-0,Fue muy injusto para Aluche!.,NO,SPAM,NONE
109-31931-0,¡Votado!.,NO,SPAM,NONE
109-33339-0,Votado.,NO,SPAM,NONE
109-33339-1,Por favor votad para reciclaje.,NO,SPAM,NONE
109-33719-0,Creo que nuestras propuestas son complementarias.,NO,SPAM,NONE
109-34245-0,"Cierto, votemos propuestas similares para conseguirlo entre todos.",NO,SPAM,NONE
109-34245-1,Gracias por tu voto!.,NO,SPAM,NONE
109-34246-0,"Muchas gracias por los apoyos, recuerdo temas que nos preocupan y mucho: No a los ruidos.",NO,SPAM,NONE
109-34246-1,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-38128-0,Votado.,NO,SPAM,NONE
109-38159-0,Muchas gracias entre todos lo conseguiremos.,NO,SPAM,NONE
109-40146-0,Votado.,NO,SPAM,NONE
109-40146-1,Gracias por apoyarme.,NO,SPAM,NONE
109-41071-0,Votado.,NO,SPAM,NONE
109-41071-1,Apoyad también mi propuesta de limpieza por favor.,NO,SPAM,NONE
109-41071-2,"Cuantos más votos, más conseguiremos.",NO,SPAM,NONE
109-41071-3,Esto no puede seguir así.,NO,SPAM,NONE
109-56617-0,Totalmente de acuerdo.,NO,SPAM,NONE
109-41619-0,"Estoy de acuerdo, es deplorable como se encuentra el barrio.",YES,CLAIM,NONE
109-48591-0,Apoyo su propuesta.,NO,SPAM,NONE
109-48591-1,La mayoría de barrios de Madrid están en el mismo estado.,NO,SPAM,NONE
109-51873-0,"Buenos días a tod@s, la limpieza es una de las partes de una sociedad que tenemos que cuidar tod@s sin excepción, es tan importante como la seguridad de una ciudad o la sanidad para las personas, si tenemos insalubridad en una ciudad corremos mucho riesgo en todos los aspectos, os envío un enlace para que entréis a leerlo si os parece correcto votarlo, los puntos a tratar sobre la limpieza son bastante interesantes, no hace falta hacer inversiones exageradas, es más, todo ello está sobradamente probado y funciona, votar la idea si os parece bien para conseguir el máximo posible de votos para poder reaccionar frente a la limpieza de Madrid.",YES,CLAIM,NONE
109-52744-0,"Apoyo la limpieza pero los graffitis me gustan, no veo nada antihigiénico en ello.",YES,PREMISE,CONCESSION
109-53173-0,"Efectivamente, no estamos en contra de los graffittis, estamos en contra de las pintadas sin sentido.",YES,CLAIM,NONE
109-53173-1,"Graffitis artísticos sí tienen cabida, el vandalismo no.",YES,PREMISE,PRECISION
109-75867-0,Si te gustan que los hagan en tu casa en tu portal y en tu coche.,YES,CLAIM,NONE
109-75867-1,Pero basta ya de tener Madrid echo una mierda por estos niñatos.,YES,PREMISE,OPPOSITION
109-76187-0,"No claro que no, pero en las paredes que no se usan o se usan para publicidad si.",YES,PREMISE,ALTERNATIVE
109-55835-0,Me parece una propuesta muy interesante.,NO,SPAM,NONE
109-55835-1,"Vecinos por un metro en la Zona de las Calles Los yébenes, Camarena y Valmojado.",NO,SPAM,NONE
109-57960-0,Votado como has hecho con la mia.,NO,SPAM,NONE
109-58117-0,Votado.,NO,SPAM,NONE
109-58117-1,Más que multas que no podrán pagar les haría realizar servicios comunitarios de limpieza.,YES,CLAIM,NONE
109-58117-2,"A limpiar cacas de perro, chicles y colillas en paradas de autobús y estaciones! Así toman un poquito de conciencia.",YES,PREMISE,RESULT
109-58117-3,Y para los graffitis que son arte restauración de paredes en solares y lugares públicos donde mostrar su habilidad.,YES,PREMISE,ADDITION
109-60032-0,Votado.,NO,SPAM,NONE
109-60032-1,Estoy de acuerdo sobre todo en que el barrio necesita mejoras en algunas calles y aceras y el tema de la limpieza y los contenedores.,YES,CLAIM,NONE
109-60032-2,"Lo único que discrepo es en el tema de los graffitis, a mí sí están bien hechos me gustan, es arte urbano.",YES,PREMISE,OPPOSITION
109-75866-0,En Madrid arte urbano poco y vandalismo mucho.,NO,SPAM,NONE
109-75866-1,Date una vuelta por el centro de Madrid.,NO,SPAM,NONE
109-75866-2,"Vomitivo, edificios historicos, mobiliario urbano, puertas de portales, escaparates con pintadas de acido.",NO,SPAM,NONE
109-75866-3,Tolerancia cero al graffity.,NO,SPAM,NONE
109-61625-0,"Algo que creo que beneficiaría ampliamente a la limpieza de la ciudad es el aumento maquinas limpiadoras de aceras de esas que son un pequeño vehículo como los de las maquinas de limpiar coches con cepillos, agua y jabón.",YES,CLAIM,NONE
109-61625-1,"¿Cuantas máquinas de esas hay funcionando en Madrid? , con lo grande que es tendría que ver muchas y casi no veo y las que veo son de medioambiente, ¿pero esos no son los que cuidan los parques? Debería haber en cada distrito toda una legión de ellas funcionando, es la forma de tener la ciudad limpia e higienica, porque aquí no llueve apenas como puede ser en el norte.",YES,CLAIM,NONE
109-65822-0,Deberíamos proponer al Ayuntamiento algún tipo de medio de concienciación de los vecinos de cada barrio para que nos sintamos implicados en mantener esas mejoras que exigimos.,YES,CLAIM,NONE
109-65822-1,"Limpieza, no ruido, y lo que este en nuestras manos.",NO,SPAM,NONE
109-65674-0,Votado compañero!.,NO,SPAM,NONE
109-65815-0,"Yo por mi parte, lo siento, pero grafittis, ningúno.",YES,CLAIM,NONE
109-65815-1,A mi no tiene por que gustarme ver mi fachada pintada con algo que no he elegido.,YES,PREMISE,REASON
109-65815-2,Prefiero ver las calles con fachadas limpias tal y como se concibieron al construirlas.,YES,CLAIM,NONE
109-65816-0,No solo para Aluche sino para todos los barrios que sufran estos problemas.,YES,CLAIM,NONE
109-65816-1,"Por eso apoyo tu propuesta pero referida también a los barrios del Centro, concretamente el de Malasaña.",YES,PREMISE,ADDITION
109-66775-0,"Conozco la zona y estoy de acuerdo pero estoy más de acuerdo con poner una tasa para las mascotas, con el pago de la misma entregaría un plano con las zonas reservadas a los perros, un extracto de la normativa cursos, cuidados básicos etc. Ello implica más responsabilidad para el dueño y aumentaría la formación y conocimiento de la normativa tan desconocida por los actuales dueños y paseadores ya no sería un juguete gratuito como hasta ahora.",YES,CLAIM,NONE
109-66775-1,Lo que no cuesta no se valora.,NO,SPAM,NONE
109-66775-2,Yo pagaría 10€ al mes por esa mascota que cuido y me da cariño sin dudarlo.,YES,CLAIM,NONE
109-67234-0,Votado.,NO,SPAM,NONE
109-67234-1,"Hay que cuidar todos los barrios por igual, así como Aluche, Vallecas está siendo tomado por toxicómanos y camellos.",YES,CLAIM,NONE
109-67234-2,Por favor apoyad mi propuesta.,NO,SPAM,NONE
109-69986-0,Apoyado! y que se extienda al resto de los barrios.,NO,SPAM,NONE
109-70625-0,Conozco Aluche y es cierto que se ve antiguo y sucio.,NO,SPAM,NONE
109-70625-1,Dejo mi voto por si sirve de ayuda.,NO,SPAM,NONE
109-74421-0,Habría que diferenciar los graffittis.,YES,CLAIM,NONE
109-74421-1,Deberían crearse zonas para que puedan realizar gtaffittis y el resto debería multarse por hacerlo.,YES,CLAIM,NONE
109-78101-0,"Estoy de acuerdo con vosotros, pero tenemos que tener en cuenta que toda la labor no es del Ayuntamiento, también con concierne a nosotros el educar en el respeto a los demás y a la ciudadanía y concienciar a las personas que la calle no es del Ayuntamiento sino de todos nosotros y por ese motivo debemos cuidarla y respetarla.",YES,PREMISE,OPPOSITION
109-78101-1,La libertad de los demás termina donde empieza la mía.,NO,SPAM,NONE
109-78101-2,"Y si no se consigue por las buenas, que sería, lo mejor, pues multa al canto.",NO,SPAM,NONE
109-89897-0,"La falta de civismo que esta sociedad a creado es intolerable, no puede haber un barrendero limpiando una y otra vez el mismo día la misma calle, hay que limpiar de acuerdo, pero hay que acabar con esta impunidad para la gente que deja bolsas de basura, botellas, muebles, colchones, cartón, cacas de perro, etc. En cualquier lugar, sin que page por ello hasta que aprenda que la ciudad es patrimonio de todos y como ciudadanos merecemos un respeto.",YES,CLAIM,NONE
109-89897-1,Que se aplique la normativa y que se multe al infractor.,YES,CLAIM,NONE
109-93434-0,Apoyada.,NO,SPAM,NONE
109-93434-1,"Te dejo esta petición por si te parece bien y nos podias ayudar, el barrio esta muy, muy, sucio.",NO,SPAM,NONE
109-93434-2,Gracias.,NO,SPAM,NONE
109-123688-0,¡Enhorabuena por la propuesta! En el barrio de Castillejos tenemos un parque con los mimso problemas Os agradecemos mucho si leéis y apoyáis nuestra propuesta.,NO,SPAM,NONE
